horizon_ms,family,model,n_trades,effective_n,mean_bp,median_bp,win_rate,gross_mean_bp,boot_ci_low,boot_ci_high,p_value,q_value,top1pct_share,top5pct_share,top10pct_share,status
5000,PRICE,ridge,708,37,-0.470606,-0.446576,0.444915,,,,0.942658,,-0.871203,-1.735794,-2.332575,NO_SUPPORTED_EDGE
10000,SPREAD,tree_depth3,92,2,-6.287792,-2.120264,0.358696,,,,,,-0.051657,-0.186401,-0.34032,NO_SUPPORTED_EDGE
30000,SPREAD,logistic,108,0,7.99465,1.467624,0.583333,,,,,,0.108691,0.377629,0.616885,NO_SUPPORTED_EDGE
60000,SPREAD,logistic,234,1,12.011321,1.49924,0.641026,,,,,,0.073498,0.304953,0.524404,NO_SUPPORTED_EDGE
300000,SPREAD,ridge,432,0,11.046354,1.777209,0.631944,,,,,,0.076941,0.386488,0.711819,NO_SUPPORTED_EDGE
