trade_id,signal,order,fill,exit,tick_before,tick_at/after,max_delta_ms,status
POS-20260914T0117Z,2026-09-14T01:19:04.184166+00:00,,2026-09-14T01:47:53.142805+00:00,2026-09-14T03:02:50.770311+00:00,137,327,327,PASS
POS-20260914T031902,2026-09-14T03:19:02.203982+00:00,,2026-09-14T04:48:41.687458+00:00,2026-09-14T07:48:55.541415+00:00,164,167,624,PASS
POS-20260914T090414,2026-09-14T09:04:14.908358+00:00,,2026-09-14T09:33:40.340878+00:00,2026-09-14T12:49:08.444968+00:00,185,14,63,PASS
POS-20260914T1247Z,2026-09-14T12:49:08.478969+00:00,,2026-09-14T13:03:20.027593+00:00,2026-09-14T13:17:50.137176+00:00,177,167,167,PASS
POS-20260914T1447Z,2026-09-14T14:49:29.757566+00:00,,2026-09-14T16:04:15.022351+00:00,2026-09-14T16:18:22.318604+00:00,145,113,113,PASS
POS-20260914T1502Zb,2026-09-14T15:04:50.873253+00:00,,2026-09-14T16:18:24.621397+00:00,2026-09-14T16:48:35.520487+00:00,146,88,259,PASS
POS-20260914T1517Z,2026-09-14T15:19:18.292262+00:00,,2026-09-14T15:19:20.470838+00:00,2026-09-14T15:33:53.460833+00:00,209,39,98,PASS
POS-20260915T0002Z,2026-09-15T00:03:36.368646+00:00,,2026-09-15T01:20:12.730906+00:00,2026-09-15T02:03:38.173862+00:00,0,97,517787,PARTIAL
POS-20260915T0032Z,2026-09-15T00:35:02.636160+00:00,,2026-09-15T00:48:15.945896+00:00,2026-09-15T01:20:10.274928+00:00,0,1004189,1797498,PARTIAL
POS-20260915T0217Z,2026-09-15T02:20:21.323102+00:00,,2026-09-15T02:35:15.889887+00:00,2026-09-15T05:47:55.497423+00:00,117,452,452,PASS
POS-20260915T0632Z,2026-09-15T06:33:36.937002+00:00,,2026-09-15T07:18:07.698644+00:00,2026-09-15T07:47:53.986059+00:00,0,5040805,5040805,DATA_GAP
POS-20260915T0917Z,2026-09-15T09:18:18.570653+00:00,,2026-09-15T10:48:11.208904+00:00,2026-09-15T13:05:57.049419+00:00,177,162,162,PASS
POS-20260915T1317Z,2026-09-15T13:18:32.855163+00:00,,2026-09-15T13:48:41.384124+00:00,2026-09-15T18:18:11.973963+00:00,133,584,584,PASS
POS-20260915T230323,2026-09-15T23:03:23.245821+00:00,,2026-09-15T23:17:56.197015+00:00,2026-09-16T02:33:30.398758+00:00,129,124,585,PASS
POS-20260916T0302Z,2026-09-16T03:05:12.792077+00:00,,2026-09-16T03:18:55.525524+00:00,2026-09-16T13:18:23.020854+00:00,123,58,95,PASS
POS-20260916T1417Z,2026-09-16T14:18:40.865746+00:00,,2026-09-16T14:48:50.417842+00:00,2026-09-16T15:47:33.451708+00:00,125,14,75,PASS
POS-20260916T1917Z,2026-09-16T19:19:03.608134+00:00,,2026-09-16T19:33:56.890590+00:00,2026-09-17T00:18:55.729648+00:00,139,143,1435743,PASS
POS-20260917T0017Z,2026-09-17T00:18:55.779866+00:00,,2026-09-17T01:21:26.370004+00:00,2026-09-17T07:21:21.857957+00:00,0,36,1435793,PARTIAL
POS-20260917T0847Z,2026-09-17T08:49:42.424606+00:00,,2026-09-17T09:33:23.216450+00:00,2026-09-17T10:50:28.784352+00:00,165,85,590495,PASS
POS-20260917T1047Z,2026-09-17T10:50:28.840865+00:00,,2026-09-17T12:03:30.819737+00:00,,0,73,590439,UNRESOLVABLE
